SD7062_ROBUST_OPTIMIZED_TEKNOFEST
  1.0000000   0.0005000
  0.9997483   0.0005533
  0.9989933   0.0007132
  0.9977360   0.0009796
  0.9959774   0.0013522
  0.9937194   0.0018308
  0.9909643   0.0024151
  0.9877149   0.0031045
  0.9839744   0.0038984
  0.9797465   0.0047963
  0.9750356   0.0057971
  0.9698463   0.0069000
  0.9641840   0.0081039
  0.9580542   0.0094073
  0.9514633   0.0108090
  0.9444177   0.0123073
  0.9369247   0.0139005
  0.9289917   0.0155865
  0.9206268   0.0173635
  0.9118383   0.0192290
  0.9026351   0.0211809
  0.8930265   0.0232165
  0.8830222   0.0253333
  0.8726322   0.0275286
  0.8618670   0.0297996
  0.8507374   0.0321432
  0.8392547   0.0345566
  0.8274304   0.0370366
  0.8152763   0.0395801
  0.8028048   0.0421837
  0.7900285   0.0448440
  0.7769600   0.0475574
  0.7636127   0.0503202
  0.7500000   0.0531285
  0.7361355   0.0559780
  0.7220333   0.0588642
  0.7077075   0.0617823
  0.6931726   0.0647270
  0.6784431   0.0676927
  0.6635340   0.0706731
  0.6484602   0.0736614
  0.6332369   0.0766504
  0.6178795   0.0796321
  0.6024033   0.0825976
  0.5868241   0.0855377
  0.5711574   0.0884423
  0.5554191   0.0913004
  0.5396250   0.0941007
  0.5237910   0.0968310
  0.5079330   0.0994784
  0.4920670   0.1020298
  0.4762090   0.1044712
  0.4603750   0.1067887
  0.4445809   0.1089678
  0.4288426   0.1109942
  0.4131759   0.1128535
  0.3975967   0.1145316
  0.3821205   0.1160148
  0.3667631   0.1172899
  0.3515398   0.1183446
  0.3364660   0.1191673
  0.3215569   0.1197479
  0.3068274   0.1200772
  0.2922925   0.1201475
  0.2779667   0.1199527
  0.2638645   0.1194886
  0.2500000   0.1187524
  0.2363873   0.1177433
  0.2230400   0.1164624
  0.2099715   0.1149126
  0.1971952   0.1130989
  0.1847237   0.1110278
  0.1725696   0.1087076
  0.1607453   0.1061485
  0.1492626   0.1033619
  0.1381330   0.1003606
  0.1273678   0.0971586
  0.1169778   0.0937706
  0.1069735   0.0902123
  0.0973649   0.0864997
  0.0881617   0.0826490
  0.0793732   0.0786766
  0.0710083   0.0745984
  0.0630753   0.0704300
  0.0555823   0.0661863
  0.0485367   0.0618812
  0.0419458   0.0575276
  0.0358160   0.0531373
  0.0301537   0.0487208
  0.0249644   0.0442871
  0.0202535   0.0398437
  0.0160256   0.0353968
  0.0122851   0.0309511
  0.0090357   0.0265100
  0.0062806   0.0220754
  0.0040226   0.0176483
  0.0022640   0.0132285
  0.0010067   0.0088150
  0.0002517   0.0044062
  0.0000000   0.0000000
  0.0002517   -0.0016593
  0.0010067   -0.0033092
  0.0022640   -0.0049404
  0.0040226   -0.0065435
  0.0062806   -0.0081097
  0.0090357   -0.0096306
  0.0122851   -0.0110981
  0.0160256   -0.0125050
  0.0202535   -0.0138446
  0.0249644   -0.0151112
  0.0301537   -0.0162997
  0.0358160   -0.0174059
  0.0419458   -0.0184265
  0.0485367   -0.0193592
  0.0555823   -0.0202024
  0.0630753   -0.0209555
  0.0710083   -0.0216187
  0.0793732   -0.0221931
  0.0881617   -0.0226805
  0.0973649   -0.0230834
  0.1069735   -0.0234048
  0.1169778   -0.0236485
  0.1273678   -0.0238185
  0.1381330   -0.0239194
  0.1492626   -0.0239559
  0.1607453   -0.0239331
  0.1725696   -0.0238560
  0.1847237   -0.0237297
  0.1971952   -0.0235592
  0.2099715   -0.0233494
  0.2230400   -0.0231050
  0.2363873   -0.0228304
  0.2500000   -0.0225296
  0.2638645   -0.0222064
  0.2779667   -0.0218640
  0.2922925   -0.0215052
  0.3068274   -0.0211325
  0.3215569   -0.0207479
  0.3364660   -0.0203528
  0.3515398   -0.0199485
  0.3667631   -0.0195356
  0.3821205   -0.0191145
  0.3975967   -0.0186853
  0.4131759   -0.0182479
  0.4288426   -0.0178018
  0.4445809   -0.0173466
  0.4603750   -0.0168815
  0.4762090   -0.0164060
  0.4920670   -0.0159193
  0.5079330   -0.0154210
  0.5237910   -0.0149106
  0.5396250   -0.0143879
  0.5554191   -0.0138527
  0.5711574   -0.0133053
  0.5868241   -0.0127462
  0.6024033   -0.0121762
  0.6178795   -0.0115963
  0.6332369   -0.0110079
  0.6484602   -0.0104127
  0.6635340   -0.0098127
  0.6784431   -0.0092101
  0.6931726   -0.0086074
  0.7077075   -0.0080072
  0.7220333   -0.0074124
  0.7361355   -0.0068259
  0.7500000   -0.0062506
  0.7636127   -0.0056896
  0.7769600   -0.0051459
  0.7900285   -0.0046222
  0.8028048   -0.0041214
  0.8152763   -0.0036458
  0.8274304   -0.0031977
  0.8392547   -0.0027792
  0.8507374   -0.0023917
  0.8618670   -0.0020366
  0.8726322   -0.0017148
  0.8830222   -0.0014266
  0.8930265   -0.0011722
  0.9026351   -0.0009512
  0.9118383   -0.0007628
  0.9206268   -0.0006059
  0.9289917   -0.0004790
  0.9369247   -0.0003801
  0.9444177   -0.0003071
  0.9514633   -0.0002576
  0.9580542   -0.0002290
  0.9641840   -0.0002183
  0.9698463   -0.0002227
  0.9750356   -0.0002393
  0.9797465   -0.0002651
  0.9839744   -0.0002972
  0.9877149   -0.0003329
  0.9909643   -0.0003695
  0.9937194   -0.0004048
  0.9959774   -0.0004366
  0.9977360   -0.0004633
  0.9989933   -0.0004833
  0.9997483   -0.0004958
  1.0000000   -0.0005000
